"","Estimate","Std. Error","z value","Pr(>|z|)"
"AATSC5s",144982281921760,8145661.22208551,17798712.4640866,0
"AATSC6s",-65774179893115.1,6339244.74474077,-10375712.3350827,0
"AATSC8s",-99119508939192,7598790.26897316,-13044116.9489714,0
"MATS1c",-1099066223908166,18145313.0349138,-60570254.246561,0
"MATS2c",-507173857767071,18136414.5414092,-27964394.8702809,0
"MATS3c",-59065433098221.4,13691915.6527462,-4313891.10159867,0
"MATS4c",112398311870122,9914879.45316634,11336326.6191025,0
"MATS5c",256321273153309,8023758.87668359,31945286.1299407,0
"MATS6c",95529645584208.7,7299965.84383365,13086314.0496614,0
"MATS7c",-26343910860430.9,6301884.4682857,-4180322.72616341,0
"MATS8c",-263145739166804,5286585.87478846,-49776121.1865935,0
"MATS1m",-249958345353798,12671827.8966465,-19725516.1127897,0
"MATS2m",270854879055222,12293223.4566174,22032860.6252921,0
"MATS3m",276522213556010,13843437.8059254,19974967.0156102,0
"MATS4m",439030432049755,11779186.772764,37271709.8827983,0
"MATS5m",-196271810977755,12495067.3371605,-15707943.4373307,0
"MATS6m",124696729656534,9293479.9207516,13417657.4028095,0
"MATS7m",-96878734866430.8,10489020.4629155,-9236204.20123605,0
"MATS8m",8654906805940.5,9417110.0529273,919061.873260166,0
"MATS1e",599105358225008,12069820.3778188,49636642.424771,0
"MATS2e",168848175249906,13394448.2394731,12605832.8220131,0
"MATS3e",-229263053924178,11380370.1504196,-20145483.0461491,0
"MATS4e",284898879366935,11374581.5794658,25046976.662531,0
"MATS5e",723304224096304,11611613.8439884,62291446.6339042,0
"MATS6e",252088930744803,9340260.45158627,26989496.9258582,0
"MATS7e",82147265503235.2,9236108.53073956,8894142.50924329,0
"MATS8e",529826240364362,8650116.85284737,61250761.0449167,0
"MATS1p",-519933827201003,21365960.5772536,-24334680.6393778,0
"MATS3p",30678490374392.1,16177460.3143231,1896372.46998715,0
"MATS4p",-17612976716680,13208441.985876,-1333463.60876733,0
"MATS5p",-549850804191481,12889406.0026526,-42659126.7338714,0
"MATS6p",616463250354294,13263411.0952881,46478484.7521837,0
"MATS8p",-275320795817219,9284247.54541382,-29654616.0009726,0
"MATS1i",1444186215632743,25620350.2297074,56368714.8178863,0
"MATS2i",565448777666226,21080330.8521353,26823524.8124177,0
"MATS3i",-289537374231136,15712514.0004904,-18427183.2134628,0
"MATS4i",209195182158993,12198234.5795414,17149627.7428415,0
"MATS5i",-125950010263830,10634529.5491526,-11843496.1962061,0
"MATS1s",-72511138967945.2,9715074.05890951,-7463776.24383075,0
"MATS2s",-637866384261300,9243485.99999789,-69007123.9639942,0
"MATS3s",91802959598294.2,7357125.20511824,12478102.1171732,0
"MATS4s",114359022516246,7316763.10828356,15629728.7234537,0
"MATS5s",-110943240232919,6986222.35327418,-15880290.4664098,0
"MATS6s",147151273782419,6553768.8500658,22452923.9814343,0
"MATS7s",-4372877318212.02,5381631.63631028,-812556.045030635,0
